product,term,recent_mentions,baseline_mentions,recent_rate_percent,baseline_rate_percent,growth_rate_percent,emergence_score,recent_start,recent_end,baseline_start,baseline_end
Checking or savings account,letter sent,5,4,4.59,0.56,725.69,4.03,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,social security,8,24,7.34,3.33,120.18,4.01,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,banking access,5,5,4.59,0.69,560.55,3.89,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,written confirmation,6,12,5.5,1.67,230.28,3.84,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,written response,6,14,5.5,1.94,183.09,3.56,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,close account,9,34,8.26,4.72,74.85,3.53,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,called fraud,4,2,3.67,0.28,1221.1,3.39,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,complaint wells,7,22,6.42,3.06,110.18,3.37,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,good faith,8,29,7.34,4.03,82.22,3.31,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,fraud department,9,36,8.26,5.0,65.14,3.26,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,business days,9,36,8.26,5.0,65.14,3.26,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,person branch,4,3,3.67,0.42,780.73,3.25,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,called bank,7,23,6.42,3.19,101.04,3.23,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,business checking,6,17,5.5,2.36,133.14,3.14,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,customer support,4,4,3.67,0.56,560.55,3.11,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,weeks later,4,4,3.67,0.56,560.55,3.11,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,filed dispute,7,24,6.42,3.33,92.66,3.09,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,concern writing,4,5,3.67,0.69,428.44,2.98,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,account went,4,5,3.67,0.69,428.44,2.98,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,account history,4,6,3.67,0.83,340.37,2.84,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,information regarding,5,13,4.59,1.81,154.06,2.78,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,security number,5,13,4.59,1.81,154.06,2.78,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,banking practice,3,0,2.75,0.0,,2.75,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,prevent fraud,3,0,2.75,0.0,,2.75,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,following day,4,7,3.67,0.97,277.46,2.7,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,wire transfer,4,7,3.67,0.97,277.46,2.7,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,funds bank,4,7,3.67,0.97,277.46,2.7,2026-07-23,2026-07-29,2026-06-25,2026-07-22
Checking or savings account,called wells,5,14,4.59,1.94,135.91,2.64,2026-07-23,2026-07-29,2026-06-25,2026-07-22
